ID,Subject,EmailText,SenderEmail,Label
1,Security Alert: Unusual login attempt,Your PayPal account has been restricted due to unusual activity. Log in now to restore access: http://paypal-security.com,security@paypal-support.com,1
2,Action required: Confirm your banking info,Urgent! Your bank account will be locked unless you confirm your identity within 24 hours: http://secure-banking.com,security@paypal-support.com,1
3,Security Alert: Unusual login attempt,"Dear user, we have noticed suspicious activity on your account. Please click the link below to verify your details immediately: http://fakebank.com/login",security@paypal-support.com,1
4,Urgent: Verify your payment details,Congratulations! You have won a prize. Claim it now by entering your personal information here: http://scamlink.com,admin@bankalerts.com,1
5,Limited-time offer: Win an iPhone!,Congratulations! You have won a prize. Claim it now by entering your personal information here: http://scamlink.com,admin@bankalerts.com,1
6,Security Alert: Unusual login attempt,Your PayPal account has been restricted due to unusual activity. Log in now to restore access: http://paypal-security.com,admin@bankalerts.com,1
7,Claim your free gift now!,Urgent! Your bank account will be locked unless you confirm your identity within 24 hours: http://secure-banking.com,admin@bankalerts.com,1
8,Limited-time offer: Win an iPhone!,Congratulations! You have won a prize. Claim it now by entering your personal information here: http://scamlink.com,admin@bankalerts.com,1
9,Action required: Confirm your banking info,"Dear user, we have noticed suspicious activity on your account. Please click the link below to verify your details immediately: http://fakebank.com/login",admin@bankalerts.com,1
10,Limited-time offer: Win an iPhone!,"Dear user, we have noticed suspicious activity on your account. Please click the link below to verify your details immediately: http://fakebank.com/login",admin@bankalerts.com,1
11,Action required: Confirm your banking info,Congratulations! You have won a prize. Claim it now by entering your personal information here: http://scamlink.com,security@paypal-support.com,1
12,Action required: Confirm your banking info,Urgent! Your bank account will be locked unless you confirm your identity within 24 hours: http://secure-banking.com,security@paypal-support.com,1
13,Your account has been suspended!,Congratulations! You have won a prize. Claim it now by entering your personal information here: http://scamlink.com,win@freeprizes.com,1
14,Claim your free gift now!,"Dear user, we have noticed suspicious activity on your account. Please click the link below to verify your details immediately: http://fakebank.com/login",security@paypal-support.com,1
15,Security Alert: Unusual login attempt,Congratulations! You have won a prize. Claim it now by entering your personal information here: http://scamlink.com,security@paypal-support.com,1
16,Action required: Confirm your banking info,Urgent! Your bank account will be locked unless you confirm your identity within 24 hours: http://secure-banking.com,admin@bankalerts.com,1
17,Urgent: Verify your payment details,Urgent! Your bank account will be locked unless you confirm your identity within 24 hours: http://secure-banking.com,win@freeprizes.com,1
18,Action required: Confirm your banking info,Your PayPal account has been restricted due to unusual activity. Log in now to restore access: http://paypal-security.com,security@paypal-support.com,1
19,Limited-time offer: Win an iPhone!,Your PayPal account has been restricted due to unusual activity. Log in now to restore access: http://paypal-security.com,security@paypal-support.com,1
20,Security Alert: Unusual login attempt,Urgent! Your bank account will be locked unless you confirm your identity within 24 hours: http://secure-banking.com,security@paypal-support.com,1
21,Urgent: Verify your payment details,Your PayPal account has been restricted due to unusual activity. Log in now to restore access: http://paypal-security.com,security@paypal-support.com,1
22,Your account has been suspended!,Congratulations! You have won a prize. Claim it now by entering your personal information here: http://scamlink.com,win@freeprizes.com,1
23,Your account has been suspended!,Congratulations! You have won a prize. Claim it now by entering your personal information here: http://scamlink.com,admin@bankalerts.com,1
24,Security Alert: Unusual login attempt,Congratulations! You have won a prize. Claim it now by entering your personal information here: http://scamlink.com,admin@bankalerts.com,1
25,Your account has been suspended!,"Dear user, we have noticed suspicious activity on your account. Please click the link below to verify your details immediately: http://fakebank.com/login",admin@bankalerts.com,1
26,Claim your free gift now!,"Dear user, we have noticed suspicious activity on your account. Please click the link below to verify your details immediately: http://fakebank.com/login",security@paypal-support.com,1
27,Action required: Confirm your banking info,Urgent! Your bank account will be locked unless you confirm your identity within 24 hours: http://secure-banking.com,security@paypal-support.com,1
28,Action required: Confirm your banking info,"Dear user, we have noticed suspicious activity on your account. Please click the link below to verify your details immediately: http://fakebank.com/login",security@paypal-support.com,1
29,Security Alert: Unusual login attempt,"Dear user, we have noticed suspicious activity on your account. Please click the link below to verify your details immediately: http://fakebank.com/login",admin@bankalerts.com,1
30,Urgent: Verify your payment details,Your PayPal account has been restricted due to unusual activity. Log in now to restore access: http://paypal-security.com,admin@bankalerts.com,1
31,Claim your free gift now!,Your PayPal account has been restricted due to unusual activity. Log in now to restore access: http://paypal-security.com,admin@bankalerts.com,1
32,Claim your free gift now!,Congratulations! You have won a prize. Claim it now by entering your personal information here: http://scamlink.com,admin@bankalerts.com,1
33,Action required: Confirm your banking info,Congratulations! You have won a prize. Claim it now by entering your personal information here: http://scamlink.com,win@freeprizes.com,1
34,Limited-time offer: Win an iPhone!,Congratulations! You have won a prize. Claim it now by entering your personal information here: http://scamlink.com,admin@bankalerts.com,1
35,Action required: Confirm your banking info,"Dear user, we have noticed suspicious activity on your account. Please click the link below to verify your details immediately: http://fakebank.com/login",win@freeprizes.com,1
36,Claim your free gift now!,Urgent! Your bank account will be locked unless you confirm your identity within 24 hours: http://secure-banking.com,admin@bankalerts.com,1
37,Your account has been suspended!,Congratulations! You have won a prize. Claim it now by entering your personal information here: http://scamlink.com,win@freeprizes.com,1
38,Limited-time offer: Win an iPhone!,Your PayPal account has been restricted due to unusual activity. Log in now to restore access: http://paypal-security.com,security@paypal-support.com,1
39,Action required: Confirm your banking info,"Dear user, we have noticed suspicious activity on your account. Please click the link below to verify your details immediately: http://fakebank.com/login",admin@bankalerts.com,1
40,Urgent: Verify your payment details,Your PayPal account has been restricted due to unusual activity. Log in now to restore access: http://paypal-security.com,security@paypal-support.com,1
41,Action required: Confirm your banking info,Congratulations! You have won a prize. Claim it now by entering your personal information here: http://scamlink.com,security@paypal-support.com,1
42,Security Alert: Unusual login attempt,Congratulations! You have won a prize. Claim it now by entering your personal information here: http://scamlink.com,security@paypal-support.com,1
43,Your account has been suspended!,Congratulations! You have won a prize. Claim it now by entering your personal information here: http://scamlink.com,admin@bankalerts.com,1
44,Claim your free gift now!,Your PayPal account has been restricted due to unusual activity. Log in now to restore access: http://paypal-security.com,win@freeprizes.com,1
45,Limited-time offer: Win an iPhone!,"Dear user, we have noticed suspicious activity on your account. Please click the link below to verify your details immediately: http://fakebank.com/login",admin@bankalerts.com,1
